content_type,deg_type,deg_label,method,edge_recovery,original_edges,method_edges
scene,dark,dark_severe,Canny Only,0.0,4178,0
scene,dark,dark_severe,CLAHE + Canny,0.033748204882719006,4178,167
scene,dark,dark_severe,HistEq + Canny,0.8896601244614648,4178,44445
scene,dark,dark_severe,Adaptive Thresh,0.49114408808042126,4178,231903
scene,dark,dark_severe,Ours (ADRR + Canny),0.2527525131641934,4178,10231
scene,dark,dark_heavy,Canny Only,0.12805169937769267,4178,600
scene,dark,dark_heavy,CLAHE + Canny,0.21134514121589276,4178,995
scene,dark,dark_heavy,HistEq + Canny,0.8944471038774533,4178,46338
scene,dark,dark_heavy,Adaptive Thresh,0.48396361895643847,4178,230401
scene,dark,dark_heavy,Ours (ADRR + Canny),0.9011488750598372,4178,4017
scene,dark,dark_moderate,Canny Only,0.22067975107707036,4178,981
scene,dark,dark_moderate,CLAHE + Canny,0.8274293920536142,4178,3681
scene,dark,dark_moderate,HistEq + Canny,0.8944471038774533,4178,55160
scene,dark,dark_moderate,Adaptive Thresh,0.48180947821924364,4178,223472
scene,dark,dark_moderate,Ours (ADRR + Canny),0.9432742939205362,4178,4145
scene,dark,dark_mild,Canny Only,0.8887027285782672,4178,3768
scene,dark,dark_mild,CLAHE + Canny,0.9743896601244615,4178,4261
scene,dark,dark_mild,HistEq + Canny,0.9016275730014361,4178,56681
scene,dark,dark_mild,Adaptive Thresh,0.4806127333652465,4178,206728
scene,dark,dark_mild,Ours (ADRR + Canny),0.9504547630445189,4178,4160
scene,motion_blur,mblur_severe_h,Canny Only,0.0411680229775012,4178,602
scene,motion_blur,mblur_severe_h,CLAHE + Canny,0.08401148875059837,4178,2309
scene,motion_blur,mblur_severe_h,HistEq + Canny,0.024652943992340835,4178,3413
scene,motion_blur,mblur_severe_h,Adaptive Thresh,0.672091910004787,4178,223675
scene,motion_blur,mblur_severe_h,Ours (ADRR + Canny),0.0411680229775012,4178,602
scene,motion_blur,mblur_moderate_h,Canny Only,0.09956917185256103,4178,1472
scene,motion_blur,mblur_moderate_h,CLAHE + Canny,0.2079942556247008,4178,5036
scene,motion_blur,mblur_moderate_h,HistEq + Canny,0.03207276208712303,4178,3568
scene,motion_blur,mblur_moderate_h,Adaptive Thresh,0.5416467209191,4178,220548
scene,motion_blur,mblur_moderate_h,Ours (ADRR + Canny),0.09956917185256103,4178,1472
scene,motion_blur,mblur_moderate_d,Canny Only,0.6024413595021542,4178,4169
scene,motion_blur,mblur_moderate_d,CLAHE + Canny,0.5859262805169938,4178,5241
scene,motion_blur,mblur_moderate_d,HistEq + Canny,0.1498324557204404,4178,4509
scene,motion_blur,mblur_moderate_d,Adaptive Thresh,0.5081378650071805,4178,216764
scene,motion_blur,mblur_moderate_d,Ours (ADRR + Canny),0.6024413595021542,4178,4169
scene,motion_blur,mblur_mild_v,Canny Only,0.10172331258975587,4178,1715
scene,motion_blur,mblur_mild_v,CLAHE + Canny,0.22786022020105315,4178,5078
scene,motion_blur,mblur_mild_v,HistEq + Canny,0.04595500239348971,4178,3700
scene,motion_blur,mblur_mild_v,Adaptive Thresh,0.49784585926280517,4178,217492
scene,motion_blur,mblur_mild_v,Ours (ADRR + Canny),0.10172331258975587,4178,1715
scene,gaussian_blur,gblur_heavy,Canny Only,0.12900909526089038,4178,1019
scene,gaussian_blur,gblur_heavy,CLAHE + Canny,0.13738630923887027,4178,1990
scene,gaussian_blur,gblur_heavy,HistEq + Canny,0.0007180469123982767,4178,3422
scene,gaussian_blur,gblur_heavy,Adaptive Thresh,0.5524174246050741,4178,223455
scene,gaussian_blur,gblur_heavy,Ours (ADRR + Canny),0.06558161799904261,4178,1096
scene,gaussian_blur,gblur_mild,Canny Only,0.5677357587362374,4178,3493
scene,gaussian_blur,gblur_mild,CLAHE + Canny,0.667065581617999,4178,4315
scene,gaussian_blur,gblur_mild,HistEq + Canny,0.0009573958831977022,4178,3709
scene,gaussian_blur,gblur_mild,Adaptive Thresh,0.501675442795596,4178,225211
scene,gaussian_blur,gblur_mild,Ours (ADRR + Canny),0.22905696505505027,4178,5607
scene,combined,combined_dark_blur,Canny Only,0.0,4178,0
scene,combined,combined_dark_blur,CLAHE + Canny,0.03590234561991384,4178,339
scene,combined,combined_dark_blur,HistEq + Canny,0.030397319291527048,4178,16065
scene,combined,combined_dark_blur,Adaptive Thresh,0.9140737194830062,4178,236870
scene,combined,combined_dark_blur,Ours (ADRR + Canny),0.1067496409765438,4178,1418
scene,combined,combined_moderate,Canny Only,0.03973192915270465,4178,208
scene,combined,combined_moderate,CLAHE + Canny,0.5143609382479656,4178,2714
scene,combined,combined_moderate,HistEq + Canny,0.21780756342747726,4178,9560
scene,combined,combined_moderate,Adaptive Thresh,0.6807084729535663,4178,230564
scene,combined,combined_moderate,Ours (ADRR + Canny),0.19147917663954045,4178,5642
scene,dark,dark_severe,Canny Only,0.0,1796,0
scene,dark,dark_severe,CLAHE + Canny,0.0,1796,0
scene,dark,dark_severe,HistEq + Canny,0.6926503340757239,1796,39413
scene,dark,dark_severe,Adaptive Thresh,0.4866369710467706,1796,236549
scene,dark,dark_severe,Ours (ADRR + Canny),0.10746102449888642,1796,1859
scene,dark,dark_heavy,Canny Only,0.0,1796,0
scene,dark,dark_heavy,CLAHE + Canny,0.11358574610244988,1796,265
scene,dark,dark_heavy,HistEq + Canny,0.7661469933184856,1796,44356
scene,dark,dark_heavy,Adaptive Thresh,0.4860801781737194,1796,235531
scene,dark,dark_heavy,Ours (ADRR + Canny),0.11080178173719377,1796,2855
scene,dark,dark_moderate,Canny Only,0.19376391982182628,1796,398
scene,dark,dark_moderate,CLAHE + Canny,0.45879732739420936,1796,946
scene,dark,dark_moderate,HistEq + Canny,0.7433184855233853,1796,56016
scene,dark,dark_moderate,Adaptive Thresh,0.4860801781737194,1796,228926
scene,dark,dark_moderate,Ours (ADRR + Canny),0.10690423162583519,1796,3221
scene,dark,dark_mild,Canny Only,0.5684855233853007,1796,1093
scene,dark,dark_mild,CLAHE + Canny,0.9175946547884187,1796,1833
scene,dark,dark_mild,HistEq + Canny,0.7544543429844098,1796,55459
scene,dark,dark_mild,Adaptive Thresh,0.4860801781737194,1796,211094
scene,dark,dark_mild,Ours (ADRR + Canny),0.5684855233853007,1796,1093
scene,motion_blur,mblur_severe_h,Canny Only,0.2099109131403118,1796,797
scene,motion_blur,mblur_severe_h,CLAHE + Canny,0.20879732739420936,1796,867
scene,motion_blur,mblur_severe_h,HistEq + Canny,0.1714922048997773,1796,1575
scene,motion_blur,mblur_severe_h,Adaptive Thresh,0.7488864142538976,1796,232903
scene,motion_blur,mblur_severe_h,Ours (ADRR + Canny),0.2099109131403118,1796,797
scene,motion_blur,mblur_moderate_h,Canny Only,0.2633630289532294,1796,837
scene,motion_blur,mblur_moderate_h,CLAHE + Canny,0.26057906458797325,1796,1271
scene,motion_blur,mblur_moderate_h,HistEq + Canny,0.21547884187082406,1796,1633
scene,motion_blur,mblur_moderate_h,Adaptive Thresh,0.7165924276169265,1796,228946
scene,motion_blur,mblur_moderate_h,Ours (ADRR + Canny),0.2633630289532294,1796,837
scene,motion_blur,mblur_moderate_d,Canny Only,0.02783964365256125,1796,257
scene,motion_blur,mblur_moderate_d,CLAHE + Canny,0.07349665924276169,1796,1061
scene,motion_blur,mblur_moderate_d,HistEq + Canny,0.017817371937639197,1796,1595
scene,motion_blur,mblur_moderate_d,Adaptive Thresh,0.7989977728285078,1796,223689
scene,motion_blur,mblur_moderate_d,Ours (ADRR + Canny),0.15979955456570155,1796,1173
scene,motion_blur,mblur_mild_v,Canny Only,0.26224944320712695,1796,836
scene,motion_blur,mblur_mild_v,CLAHE + Canny,0.26280623608017817,1796,1128
scene,motion_blur,mblur_mild_v,HistEq + Canny,0.13474387527839643,1796,1564
scene,motion_blur,mblur_mild_v,Adaptive Thresh,0.6670378619153675,1796,224649
scene,motion_blur,mblur_mild_v,Ours (ADRR + Canny),0.26224944320712695,1796,836
scene,gaussian_blur,gblur_heavy,Canny Only,0.11247216035634744,1796,389
scene,gaussian_blur,gblur_heavy,CLAHE + Canny,0.04844097995545657,1796,282
scene,gaussian_blur,gblur_heavy,HistEq + Canny,0.0016703786191536749,1796,1185
scene,gaussian_blur,gblur_heavy,Adaptive Thresh,0.6959910913140311,1796,231574
scene,gaussian_blur,gblur_heavy,Ours (ADRR + Canny),0.01893095768374165,1796,221
scene,gaussian_blur,gblur_mild,Canny Only,0.18930957683741648,1796,526
scene,gaussian_blur,gblur_mild,CLAHE + Canny,0.11414253897550111,1796,411
scene,gaussian_blur,gblur_mild,HistEq + Canny,0.0016703786191536749,1796,1186
scene,gaussian_blur,gblur_mild,Adaptive Thresh,0.4304008908685969,1796,231828
scene,gaussian_blur,gblur_mild,Ours (ADRR + Canny),0.11414253897550111,1796,1507
scene,combined,combined_dark_blur,Canny Only,0.0,1796,0
scene,combined,combined_dark_blur,CLAHE + Canny,0.05623608017817372,1796,179
scene,combined,combined_dark_blur,HistEq + Canny,0.1787305122494432,1796,11070
scene,combined,combined_dark_blur,Adaptive Thresh,0.8084632516703786,1796,238124
scene,combined,combined_dark_blur,Ours (ADRR + Canny),0.08129175946547884,1796,763
scene,combined,combined_moderate,Canny Only,0.0,1796,0
scene,combined,combined_moderate,CLAHE + Canny,0.013919821826280624,1796,39
scene,combined,combined_moderate,HistEq + Canny,0.021158129175946547,1796,6646
scene,combined,combined_moderate,Adaptive Thresh,0.9649220489977728,1796,237572
scene,combined,combined_moderate,Ours (ADRR + Canny),0.007238307349665924,1796,461
scene,dark,dark_severe,Canny Only,0.0,2340,0
scene,dark,dark_severe,CLAHE + Canny,0.0,2340,0
scene,dark,dark_severe,HistEq + Canny,0.8286324786324787,2340,38860
scene,dark,dark_severe,Adaptive Thresh,0.4948717948717949,2340,234937
scene,dark,dark_severe,Ours (ADRR + Canny),0.15982905982905982,2340,4926
scene,dark,dark_heavy,Canny Only,0.1811965811965812,2340,460
scene,dark,dark_heavy,CLAHE + Canny,0.3371794871794872,2340,852
scene,dark,dark_heavy,HistEq + Canny,0.8504273504273504,2340,36671
scene,dark,dark_heavy,Adaptive Thresh,0.4948717948717949,2340,234084
scene,dark,dark_heavy,Ours (ADRR + Canny),0.1717948717948718,2340,5480
scene,dark,dark_moderate,Canny Only,0.7333333333333333,2340,1844
scene,dark,dark_moderate,CLAHE + Canny,0.8337606837606838,2340,2124
scene,dark,dark_moderate,HistEq + Canny,0.8658119658119658,2340,28385
scene,dark,dark_moderate,Adaptive Thresh,0.4948717948717949,2340,228072
scene,dark,dark_moderate,Ours (ADRR + Canny),0.7333333333333333,2340,1844
scene,dark,dark_mild,Canny Only,0.955982905982906,2340,2341
scene,dark,dark_mild,CLAHE + Canny,0.944017094017094,2340,2384
scene,dark,dark_mild,HistEq + Canny,0.8688034188034188,2340,31693
scene,dark,dark_mild,Adaptive Thresh,0.4948717948717949,2340,210156
scene,dark,dark_mild,Ours (ADRR + Canny),0.955982905982906,2340,2341
scene,motion_blur,mblur_severe_h,Canny Only,0.15726495726495726,2340,1143
scene,motion_blur,mblur_severe_h,CLAHE + Canny,0.1658119658119658,2340,1841
scene,motion_blur,mblur_severe_h,HistEq + Canny,0.1371794871794872,2340,2976
scene,motion_blur,mblur_severe_h,Adaptive Thresh,0.6384615384615384,2340,228885
scene,motion_blur,mblur_severe_h,Ours (ADRR + Canny),0.15726495726495726,2340,1143
scene,motion_blur,mblur_moderate_h,Canny Only,0.2064102564102564,2340,1664
scene,motion_blur,mblur_moderate_h,CLAHE + Canny,0.20213675213675214,2340,2571
scene,motion_blur,mblur_moderate_h,HistEq + Canny,0.13846153846153847,2340,2602
scene,motion_blur,mblur_moderate_h,Adaptive Thresh,0.5188034188034188,2340,225365
scene,motion_blur,mblur_moderate_h,Ours (ADRR + Canny),0.2064102564102564,2340,1664
scene,motion_blur,mblur_moderate_d,Canny Only,0.24786324786324787,2340,1480
scene,motion_blur,mblur_moderate_d,CLAHE + Canny,0.23717948717948717,2340,2461
scene,motion_blur,mblur_moderate_d,HistEq + Canny,0.07735042735042735,2340,2631
scene,motion_blur,mblur_moderate_d,Adaptive Thresh,0.36324786324786323,2340,221575
scene,motion_blur,mblur_moderate_d,Ours (ADRR + Canny),0.24786324786324787,2340,1480
scene,motion_blur,mblur_mild_v,Canny Only,0.2858974358974359,2340,2113
scene,motion_blur,mblur_mild_v,CLAHE + Canny,0.28547008547008546,2340,3072
scene,motion_blur,mblur_mild_v,HistEq + Canny,0.15598290598290598,2340,2505
scene,motion_blur,mblur_mild_v,Adaptive Thresh,0.32222222222222224,2340,223337
scene,motion_blur,mblur_mild_v,Ours (ADRR + Canny),0.2858974358974359,2340,2113
scene,gaussian_blur,gblur_heavy,Canny Only,0.020512820512820513,2340,211
scene,gaussian_blur,gblur_heavy,CLAHE + Canny,0.12094017094017094,2340,654
scene,gaussian_blur,gblur_heavy,HistEq + Canny,0.0,2340,2459
scene,gaussian_blur,gblur_heavy,Adaptive Thresh,0.2743589743589744,2340,230584
scene,gaussian_blur,gblur_heavy,Ours (ADRR + Canny),0.0547008547008547,2340,1144
scene,gaussian_blur,gblur_mild,Canny Only,0.5376068376068376,2340,2251
scene,gaussian_blur,gblur_mild,CLAHE + Canny,0.5452991452991452,2340,2262
scene,gaussian_blur,gblur_mild,HistEq + Canny,0.0,2340,2505
scene,gaussian_blur,gblur_mild,Adaptive Thresh,0.382051282051282,2340,232112
scene,gaussian_blur,gblur_mild,Ours (ADRR + Canny),0.11837606837606837,2340,3909
scene,combined,combined_dark_blur,Canny Only,0.0,2340,0
scene,combined,combined_dark_blur,CLAHE + Canny,0.01452991452991453,2340,123
scene,combined,combined_dark_blur,HistEq + Canny,0.1371794871794872,2340,10005
scene,combined,combined_dark_blur,Adaptive Thresh,0.7786324786324786,2340,237217
scene,combined,combined_dark_blur,Ours (ADRR + Canny),0.13504273504273503,2340,1212
scene,combined,combined_moderate,Canny Only,0.17136752136752137,2340,534
scene,combined,combined_moderate,CLAHE + Canny,0.22777777777777777,2340,922
scene,combined,combined_moderate,HistEq + Canny,0.10213675213675213,2340,2616
scene,combined,combined_moderate,Adaptive Thresh,0.5893162393162393,2340,235562
scene,combined,combined_moderate,Ours (ADRR + Canny),0.02435897435897436,2340,525
scene,dark,dark_severe,Canny Only,0.0,1702,0
scene,dark,dark_severe,CLAHE + Canny,0.0,1702,0
scene,dark,dark_severe,HistEq + Canny,0.7702702702702703,1702,43298
scene,dark,dark_severe,Adaptive Thresh,0.5235017626321974,1702,237086
scene,dark,dark_severe,Ours (ADRR + Canny),0.19623971797884843,1702,3149
scene,dark,dark_heavy,Canny Only,0.0,1702,0
scene,dark,dark_heavy,CLAHE + Canny,0.23678025851938894,1702,442
scene,dark,dark_heavy,HistEq + Canny,0.7984723854289072,1702,57002
scene,dark,dark_heavy,Adaptive Thresh,0.5223266745005876,1702,236483
scene,dark,dark_heavy,Ours (ADRR + Canny),0.20681551116333724,1702,3825
scene,dark,dark_moderate,Canny Only,0.282021151586369,1702,503
scene,dark,dark_moderate,CLAHE + Canny,0.5370152761457109,1702,985
scene,dark,dark_moderate,HistEq + Canny,0.7961222091656874,1702,65192
scene,dark,dark_moderate,Adaptive Thresh,0.5223266745005876,1702,230474
scene,dark,dark_moderate,Ours (ADRR + Canny),0.282021151586369,1702,503
scene,dark,dark_mild,Canny Only,0.8848413631022327,1702,1558
scene,dark,dark_mild,CLAHE + Canny,0.9688601645123385,1702,1753
scene,dark,dark_mild,HistEq + Canny,0.7961222091656874,1702,65563
scene,dark,dark_mild,Adaptive Thresh,0.5223266745005876,1702,212815
scene,dark,dark_mild,Ours (ADRR + Canny),0.8848413631022327,1702,1558
scene,motion_blur,mblur_severe_h,Canny Only,0.13748531139835488,1702,537
scene,motion_blur,mblur_severe_h,CLAHE + Canny,0.14159811985898943,1702,1063
scene,motion_blur,mblur_severe_h,HistEq + Canny,0.11045828437132785,1702,1645
scene,motion_blur,mblur_severe_h,Adaptive Thresh,0.6774383078730905,1702,232239
scene,motion_blur,mblur_severe_h,Ours (ADRR + Canny),0.06874265569917744,1702,818
scene,motion_blur,mblur_moderate_h,Canny Only,0.17743830787309048,1702,844
scene,motion_blur,mblur_moderate_h,CLAHE + Canny,0.18155111633372503,1702,1834
scene,motion_blur,mblur_moderate_h,HistEq + Canny,0.1227967097532315,1702,1619
scene,motion_blur,mblur_moderate_h,Adaptive Thresh,0.5193889541715628,1702,228929
scene,motion_blur,mblur_moderate_h,Ours (ADRR + Canny),0.17743830787309048,1702,844
scene,motion_blur,mblur_moderate_d,Canny Only,0.05464159811985899,1702,302
scene,motion_blur,mblur_moderate_d,CLAHE + Canny,0.057579318448883664,1702,1097
scene,motion_blur,mblur_moderate_d,HistEq + Canny,0.019388954171562868,1702,1700
scene,motion_blur,mblur_moderate_d,Adaptive Thresh,0.6680376028202115,1702,224029
scene,motion_blur,mblur_moderate_d,Ours (ADRR + Canny),0.05464159811985899,1702,302
scene,motion_blur,mblur_mild_v,Canny Only,0.11515863689776733,1702,831
scene,motion_blur,mblur_mild_v,CLAHE + Canny,0.09929494712103408,1702,2012
scene,motion_blur,mblur_mild_v,HistEq + Canny,0.021739130434782608,1702,1686
scene,motion_blur,mblur_mild_v,Adaptive Thresh,0.4988249118683901,1702,225205
scene,motion_blur,mblur_mild_v,Ours (ADRR + Canny),0.06698002350176263,1702,1755
scene,gaussian_blur,gblur_heavy,Canny Only,0.22209165687426558,1702,519
scene,gaussian_blur,gblur_heavy,CLAHE + Canny,0.0499412455934195,1702,328
scene,gaussian_blur,gblur_heavy,HistEq + Canny,0.0,1702,1609
scene,gaussian_blur,gblur_heavy,Adaptive Thresh,0.37132784958871917,1702,233703
scene,gaussian_blur,gblur_heavy,Ours (ADRR + Canny),0.04406580493537015,1702,364
scene,gaussian_blur,gblur_mild,Canny Only,0.24618096357226793,1702,536
scene,gaussian_blur,gblur_mild,CLAHE + Canny,0.3789659224441833,1702,1674
scene,gaussian_blur,gblur_mild,HistEq + Canny,0.0,1702,1666
scene,gaussian_blur,gblur_mild,Adaptive Thresh,0.2626321974148061,1702,234189
scene,gaussian_blur,gblur_mild,Ours (ADRR + Canny),0.18507638072855465,1702,2308
scene,combined,combined_dark_blur,Canny Only,0.0,1702,0
scene,combined,combined_dark_blur,CLAHE + Canny,0.03172737955346651,1702,100
scene,combined,combined_dark_blur,HistEq + Canny,0.13160987074030553,1702,18752
scene,combined,combined_dark_blur,Adaptive Thresh,0.7491186839012925,1702,238574
scene,combined,combined_dark_blur,Ours (ADRR + Canny),0.10693301997649823,1702,873
scene,combined,combined_moderate,Canny Only,0.02702702702702703,1702,59
scene,combined,combined_moderate,CLAHE + Canny,0.038777908343125736,1702,107
scene,combined,combined_moderate,HistEq + Canny,0.020564042303172738,1702,10707
scene,combined,combined_moderate,Adaptive Thresh,0.8595769682726204,1702,237576
scene,combined,combined_moderate,Ours (ADRR + Canny),0.0,1702,40
scene,dark,dark_severe,Canny Only,0.0,1352,0
scene,dark,dark_severe,CLAHE + Canny,0.0,1352,0
scene,dark,dark_severe,HistEq + Canny,0.8357988165680473,1352,42926
scene,dark,dark_severe,Adaptive Thresh,0.4977810650887574,1352,236807
scene,dark,dark_severe,Ours (ADRR + Canny),0.19748520710059173,1352,2369
scene,dark,dark_heavy,Canny Only,0.0,1352,0
scene,dark,dark_heavy,CLAHE + Canny,0.4319526627218935,1352,689
scene,dark,dark_heavy,HistEq + Canny,0.8572485207100592,1352,42656
scene,dark,dark_heavy,Adaptive Thresh,0.4977810650887574,1352,236310
scene,dark,dark_heavy,Ours (ADRR + Canny),0.20562130177514792,1352,2794
scene,dark,dark_moderate,Canny Only,0.46449704142011833,1352,685
scene,dark,dark_moderate,CLAHE + Canny,0.9267751479289941,1352,1384
scene,dark,dark_moderate,HistEq + Canny,0.8690828402366864,1352,28118
scene,dark,dark_moderate,Adaptive Thresh,0.4977810650887574,1352,230538
scene,dark,dark_moderate,Ours (ADRR + Canny),0.46449704142011833,1352,685
scene,dark,dark_mild,Canny Only,0.9637573964497042,1352,1355
